α,β,θ,ρ
0.8654350275913754,1.0209585017950695,0.4819644897597564,0.19927383317963887
0.8654350275913754,1.0209585017950695,0.5139075197380756,0.19927383317963887
0.8654350275913754,0.997701744921392,0.4265282144086079,0.19927383317963887
0.8654350275913754,0.997701744921392,0.48259718625205583,0.19927383317963887
0.8654350275913754,0.997701744921392,0.5177635701553422,0.19927383317963887
0.8654350275913754,0.997701744921392,0.469099528586045,0.19927383317963887
0.8654350275913754,0.997701744921392,0.40800315107190105,0.19927383317963887
0.8654350275913754,0.997701744921392,0.4605857333968791,0.19927383317963887
0.8654350275913754,0.997701744921392,0.4334793716760771,0.19927383317963887
0.8654350275913754,0.997701744921392,0.5087040471191586,0.19927383317963887
0.8654350275913754,0.997701744921392,0.5225980270067824,0.19927383317963887
0.8654350275913754,0.997701744921392,0.4598355415111519,0.19927383317963887
0.8654350275913754,0.997701744921392,0.43904339817387006,0.19927383317963887
0.8654350275913754,0.997701744921392,0.4750087823595896,0.19927383317963887
0.8654350275913754,0.997701744921392,0.45588550592013277,0.19927383317963887
0.8654350275913754,0.997701744921392,0.5899727955641186,0.19927383317963887
1.2169981764747742,0.997701744921392,0.403071406883181,0.19927383317963887
0.8346004397586098,0.997701744921392,0.3798025695143981,0.19927383317963887
0.8346004397586098,0.997701744921392,0.5578489297829373,0.19927383317963887
0.8346004397586098,0.997701744921392,0.5764045530553271,0.19927383317963887
0.8346004397586098,0.997701744921392,0.6330056218717509,0.19927383317963887
0.8346004397586098,0.997701744921392,0.4309084916735967,0.19927383317963887
0.6980905373649086,0.997701744921392,0.5297519226226806,0.19927383317963887
0.6980905373649086,0.997701744921392,0.5725904303438532,0.19927383317963887
0.6980905373649086,0.997701744921392,0.6922670131881887,0.19927383317963887
0.6980905373649086,0.997701744921392,0.5874214498932139,0.19927383317963887
0.6980905373649086,0.997701744921392,0.6847022381085247,0.19927383317963887
0.6980905373649086,0.997701744921392,0.691098698790622,0.19927383317963887
0.6980905373649086,0.997701744921392,0.6518381455730052,0.19927383317963887
0.6980905373649086,0.997701744921392,0.5999161856350005,0.19927383317963887
0.6980905373649086,0.997701744921392,0.6127426731750861,0.19927383317963887
0.6980905373649086,0.997701744921392,0.5402044696237263,0.19927383317963887
0.6980905373649086,0.997701744921392,0.7218368173790061,0.19927383317963887
0.6980905373649086,0.997701744921392,0.5544878582897138,0.19927383317963887
0.6980905373649086,0.997701744921392,0.6541589006114492,0.19927383317963887
0.6980905373649086,1.010299933116628,0.5075846607824362,0.19927383317963887
0.6980905373649086,1.010299933116628,0.6407097847403177,0.19927383317963887
0.6980905373649086,1.010299933116628,0.5634280243789664,0.19927383317963887
0.6980905373649086,1.010299933116628,0.5322709239719435,0.19927383317963887
0.6980905373649086,1.010299933116628,0.5191913781427754,0.19927383317963887
0.6980905373649086,1.010299933116628,0.6317572958380536,0.19927383317963887
0.6980905373649086,1.010299933116628,0.5134023258895068,0.19927383317963887
0.6980905373649086,1.010299933116628,0.5546713427357062,0.19927383317963887
0.6980905373649086,1.010299933116628,0.5718026964186069,0.19927383317963887
0.7989551198081901,1.010299933116628,0.5457237510261714,0.19927383317963887
0.7989551198081901,1.010299933116628,0.45614785868427493,0.19927383317963887
0.7989551198081901,1.010299933116628,0.5187409545507533,0.19928924816392588
0.7989551198081901,1.010299933116628,0.4504509427977717,0.19928924816392588
0.7989551198081901,1.010299933116628,0.41497944783612273,0.19928924816392588
0.7989551198081901,1.010299933116628,0.4546471892131291,0.19928924816392588
0.7989551198081901,1.010299933116628,0.4505629192051054,0.19928924816392588
0.7989551198081901,1.010299933116628,0.4221848552270196,0.19928924816392588
0.7989551198081901,1.010299933116628,0.5164953308616346,0.19928924816392588
0.7989551198081901,1.010299933116628,0.4948730292639288,0.19928924816392588
0.7989551198081901,1.010299933116628,0.5339875408763974,0.19928924816392588
0.7989551198081901,1.010299933116628,0.44461030983716854,0.19928924816392588
0.8540212659351897,1.010299933116628,0.47077613897533216,0.19928924816392588
0.8540212659351897,1.010299933116628,0.4207473897553823,0.19928924816392588
0.8540212659351897,1.010299933116628,0.4731270945307586,0.19928924816392588
0.8540212659351897,1.010299933116628,0.443355368948947,0.19928924816392588
0.8540212659351897,1.010299933116628,0.4936491129041907,0.19928924816392588
0.8540212659351897,1.010299933116628,0.482489479272567,0.19928924816392588
0.8540212659351897,1.010299933116628,0.4173229462517486,0.19928924816392588
0.8540212659351897,1.010299933116628,0.43623659539276355,0.19928924816392588
0.8540212659351897,1.010299933116628,0.4688798257055378,0.19928924816392588
0.8540212659351897,1.010299933116628,0.41022193634133636,0.19928924816392588
0.8540212659351897,1.010299933116628,0.43077161767397043,0.19928924816392588
0.8540212659351897,1.010299933116628,0.45469891402327606,0.19928924816392588
0.8540212659351897,1.010299933116628,0.5131647722147732,0.19928924816392588
0.8540212659351897,1.010299933116628,0.4420136935249402,0.19928924816392588
0.8540212659351897,1.010299933116628,0.4718629416742804,0.19928924816392588
0.8540212659351897,1.010299933116628,0.535132178205873,0.19928924816392588
0.8540212659351897,1.010299933116628,0.54481611217817,0.19928924816392588
0.8540212659351897,1.010299933116628,0.4267473317692019,0.19928924816392588
0.8540212659351897,1.010299933116628,0.36839329010908634,0.19928924816392588
0.8540212659351897,1.010299933116628,0.472933034772838,0.19928924816392588
0.8540212659351897,1.010299933116628,0.5105924652642405,0.19928924816392588
