n,α,β,θ,ρ,ρlow
10,3.3713366696457387,2.2659617207343232,0.14821334614387233,0.9999999999898533,0.14332552527947173
25,0.7718212253204771,2.116011139646934,0.5043483449349186,0.5031560798889774,0.14332552527947173
50,0.6871405325449076,1.721384047226644,0.8145629657209369,0.29520134090635647,0.14332552527947173
75,0.762506696480007,1.6398058704480571,0.8360098544251466,0.27549267941164773,0.14332552527947173
100,0.6894862995337819,1.6837690879060725,0.8409564153372713,0.2726791760232761,0.14332552527947173
125,0.7633437550471964,1.5841108887496227,0.8873210744639691,0.23966852759534443,0.14332552527947173
150,0.713815222077895,1.5945038730139622,0.9213988912471434,0.23888568968616825,0.14332552527947173
175,0.7528229955168737,1.5424002342031065,0.9852642905628538,0.21759290438720819,0.14332552527947173
200,0.8161858242239171,1.4827660518055255,0.9947933608206888,0.20803504719638946,0.14332552527947173
