n,α,β,θ,ρ
10,0.8194695330749859,1.354091878570263,0.7653748624964848,0.6645685765209782
25,1.0148162726049605,1.333326375687729,0.7899898434885176,0.6645685765319705
50,1.1804458860441245,1.2667814175998424,0.905374869369149,0.8484573956279733
75,1.372294859030163,1.2772261198701411,0.7322012617824447,0.8484573956081131
100,1.1987075806311578,1.349916255754944,0.6955440456751719,0.8484573956161136
125,1.201591333629317,1.3754841823510642,0.6786413705458157,0.8484573956136431
150,1.2067353052000556,1.385951407120654,0.6869342934640194,0.8484573956207709
175,1.1442022943710541,1.4343377500629941,0.6941390677053921,0.8484573956227011
200,1.141175123849476,1.423512793517727,0.6996150617196967,0.848457395601825
